0000E,00.000000,000.000000
0010N,00.000000,-010.000000
0045E,00.000000,045.000000
0046E,00.000000,046.000000
0048E,00.000000,048.000000
0051E,00.000000,051.000000
0054E,00.000000,054.000000
00MKK,22.528056,-156.170961
00UPP,20.566668,-154.125000
0110N,01.000000,-010.000000
011AT,18.449797,-71.886256
0120N,01.000000,-020.000000
0220N,02.000000,-020.000000
0310N,03.000000,-010.000000
0320N,03.000000,-020.000000
0348E,03.000000,048.000000
0351E,03.000000,051.000000
0354E,03.000000,054.000000
0357E,03.000000,057.000000
03MCT,55.136667,-007.191389
03SML,25.610000,030.635278
0410N,04.000000,-010.000000
0410S,-04.000000,010.000000
0420N,04.000000,-020.000000
0454E,04.000000,054.000000
04THT,73.147778,-068.683056
0504E,05.000000,004.000000
050AS,-05.000000,002.800000
0510N,05.000000,-010.000000
0510S,-05.000000,010.000000
0520N,05.000000,-020.000000
0530N,05.000000,-030.000000
0545S,-05.000000,045.000000
0548S,-05.000000,048.000000
0549S,-05.000000,049.000000
0620N,06.000000,-020.000000
0630N,06.000000,-030.000000
0651E,06.000000,051.000000
0654E,06.000000,054.000000
0657E,06.000000,057.000000
0660E,06.000000,060.000000
068AT,18.381992,-71.933053
06TRA,47.733334,008.283334
0710W,-07.000000,-010.000000
0720N,07.000000,-020.000000
0730N,07.000000,-030.000000
0820N,08.000000,-020.000000
0830N,08.000000,-030.000000
08YBK,63.751277,-100.000685
0920N,09.000000,-020.000000
0930N,09.000000,-030.000000
0951E,09.000000,051.000000
0954E,09.000000,054.000000
0957E,09.000000,057.000000
0960E,09.000000,060.000000
10002,48.999861,-120.767861
10003,48.999911,-117.869542
10005,38.863511,-117.309119
10006,34.503139,-096.307528
10007,35.044750,-096.062528
10008,35.185556,-096.020111
10009,35.968000,-095.529917
10010,36.196333,-095.247556
10011,36.315000,-095.099972
10012,33.870014,-116.429761
10013,32.555611,-116.974744
10014,33.985103,-093.318783
10015,36.442222,-094.941000
10016,36.483333,-094.889444
10017,26.933647,-099.333647
10018,36.853056,-094.420667
10019,37.150583,-093.997306
10020,31.581331,-089.277197
10021,31.350667,-087.520986
10023,47.983442,-089.974033
10024,39.523528,-091.264250
10025,39.886194,-089.122667
10030,44.221833,-082.252000
10032,38.818139,-088.107167
10034,35.495389,-087.942722
10035,34.617833,-087.434889
10036,37.532194,-093.446167
10043,42.379092,-082.705542
